title,sub_title,body,category,gender,price,price_compare
Vaporfly 2,Women's Road Racing Shoes,"Continue the next evolution of speed with a racing shoe made to you help chase new goals and records. It helps improve comfort and breathability with a redesigned upper. From a 10K to a marathon, this model, like the previous version, has the responsive cushioning and secure support to push you towards your personal best.",shoes,women,212.97,250
Repel Miler,Men's Running Jacket,An essential piece to your running game gets an update on the Nike Repel Miler Jacket. It's built to take on wet weather with a water-repellent design and a hood. The packable design features a look steeped in Nike's heritage. This product is made with 100% recycled polyester fibers.,clothes,men,90,90
